game_turn,player_name,num_cities,population,techs,civics,land_units,corps,armies,naval_units,tiles_owned,tiles_improved,balance_gold,balance_faith,yield_science,yield_culture,yield_gold,yield_faith,yield_production,yield_food,data_source,loaded_at
4,CIVILIZATION_ANTIOCH,1,1,0,0,2,0,0,0,7,0,25,0,2,1,5,0,2,4,player_stats,2025-08-03 19:13:55.339088
4,CIVILIZATION_FEZ,1,1,0,0,2,0,0,0,7,0,25,0,2,1,5,0,3,3,player_stats,2025-08-03 19:13:55.339088
4,CIVILIZATION_FREE_CITIES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,player_stats,2025-08-03 19:13:55.339088
5,CIVILIZATION_POLAND,1,1,0,0,1,0,0,0,7,0,30,0,2,1,5,0,7,3,player_stats,2025-08-03 19:13:55.339088
5,CIVILIZATION_NORWAY,1,1,0,0,1,0,0,0,7,0,34,0,2,1,6,0,6,3,player_stats,2025-08-03 19:13:55.339088
5,CIVILIZATION_MAPUCHE,1,1,0,0,1,0,0,0,7,0,34,0,2,1,6,0,6,3,player_stats,2025-08-03 19:13:55.339088
5,CIVILIZATION_GERMANY,1,1,0,0,1,0,0,0,7,0,34,0,2,1,6,0,6,4,player_stats,2025-08-03 19:13:55.339088
5,CIVILIZATION_GAUL,1,1,0,0,1,0,0,0,7,0,34,0,2,1,6,0,7,3,player_stats,2025-08-03 19:13:55.339088
5,CIVILIZATION_MAYA,1,1,0,0,1,0,0,0,7,0,43,0,2,1,8,0,3,4,player_stats,2025-08-03 19:13:55.339088
5,CIVILIZATION_VILNIUS,1,1,0,0,2,0,0,0,7,0,30,0,2,1,5,0,2,4,player_stats,2025-08-03 19:13:55.339088
5,CIVILIZATION_SAMARKAND,1,1,0,0,2,0,0,0,7,0,30,0,2,1,5,0,2,4,player_stats,2025-08-03 19:13:55.339088
5,CIVILIZATION_PRESLAV,1,1,0,0,2,0,0,0,7,0,30,0,3,1,5,0,2,3,player_stats,2025-08-03 19:13:55.339088
5,CIVILIZATION_JOHANNESBURG,1,1,0,0,2,0,0,0,7,0,30,0,2,1,5,0,2,4,player_stats,2025-08-03 19:13:55.339088
5,CIVILIZATION_MEXICO_CITY,1,1,0,0,2,0,0,0,7,0,30,0,2,1,5,0,2,5,player_stats,2025-08-03 19:13:55.339088
5,CIVILIZATION_LAHORE,1,1,0,0,2,0,0,0,7,0,30,0,2,2,5,0,3,4,player_stats,2025-08-03 19:13:55.339088
5,CIVILIZATION_PALENQUE,1,1,0,0,2,0,0,0,7,0,30,0,2,1,5,0,2,4,player_stats,2025-08-03 19:13:55.339088
5,CIVILIZATION_ANTIOCH,1,1,0,0,2,0,0,0,7,0,30,0,2,1,5,0,2,4,player_stats,2025-08-03 19:13:55.339088
5,CIVILIZATION_FEZ,1,1,0,0,2,0,0,0,7,0,30,0,2,1,5,0,3,3,player_stats,2025-08-03 19:13:55.339088
5,CIVILIZATION_FREE_CITIES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,player_stats,2025-08-03 19:13:55.339088
6,CIVILIZATION_POLAND,1,1,0,0,1,0,0,0,7,0,35,0,2,1,5,0,7,3,player_stats,2025-08-03 19:13:55.339088
6,CIVILIZATION_NORWAY,1,1,0,0,1,0,0,0,7,0,40,0,2,1,6,0,6,3,player_stats,2025-08-03 19:13:55.339088
6,CIVILIZATION_MAPUCHE,1,1,0,0,1,0,0,0,7,0,40,0,2,1,6,0,6,3,player_stats,2025-08-03 19:13:55.339088
6,CIVILIZATION_GERMANY,1,1,0,0,1,0,0,0,7,0,40,0,2,1,6,0,6,4,player_stats,2025-08-03 19:13:55.339088
6,CIVILIZATION_GAUL,1,1,0,0,1,0,0,0,7,0,40,0,2,1,6,0,7,3,player_stats,2025-08-03 19:13:55.339088
6,CIVILIZATION_MAYA,1,1,0,0,1,0,0,0,7,0,51,0,2,1,8,0,3,4,player_stats,2025-08-03 19:13:55.339088
6,CIVILIZATION_VILNIUS,1,1,0,0,2,0,0,0,7,0,35,0,2,1,5,0,2,4,player_stats,2025-08-03 19:13:55.339088
6,CIVILIZATION_SAMARKAND,1,1,0,0,2,0,0,0,7,0,35,0,2,1,5,0,2,4,player_stats,2025-08-03 19:13:55.339088
6,CIVILIZATION_PRESLAV,1,1,0,0,2,0,0,0,7,0,35,0,3,1,5,0,2,3,player_stats,2025-08-03 19:13:55.339088
6,CIVILIZATION_JOHANNESBURG,1,1,0,0,2,0,0,0,7,0,35,0,2,1,5,0,2,4,player_stats,2025-08-03 19:13:55.339088
6,CIVILIZATION_MEXICO_CITY,1,1,0,0,2,0,0,0,7,0,35,0,2,1,5,0,2,5,player_stats,2025-08-03 19:13:55.339088
6,CIVILIZATION_LAHORE,1,1,0,0,2,0,0,0,7,0,35,0,2,2,5,0,3,4,player_stats,2025-08-03 19:13:55.339088
6,CIVILIZATION_PALENQUE,1,1,0,0,2,0,0,0,7,0,35,0,2,1,5,0,2,4,player_stats,2025-08-03 19:13:55.339088
6,CIVILIZATION_ANTIOCH,1,1,0,0,2,0,0,0,7,0,35,0,2,1,5,0,2,4,player_stats,2025-08-03 19:13:55.339088
6,CIVILIZATION_FEZ,1,1,0,0,2,0,0,0,7,0,35,0,2,1,5,0,3,3,player_stats,2025-08-03 19:13:55.339088
6,CIVILIZATION_FREE_CITIES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,player_stats,2025-08-03 19:13:55.339088
7,CIVILIZATION_POLAND,1,1,0,0,1,0,0,0,7,0,40,0,2,1,5,0,7,3,player_stats,2025-08-03 19:13:55.339088
7,CIVILIZATION_NORWAY,1,1,0,0,1,0,0,0,7,0,46,0,2,1,6,0,6,3,player_stats,2025-08-03 19:13:55.339088
7,CIVILIZATION_MAPUCHE,1,1,0,0,1,0,0,0,7,0,46,0,2,2,6,0,6,3,player_stats,2025-08-03 19:13:55.339088
7,CIVILIZATION_GERMANY,1,1,0,0,1,0,0,0,7,0,46,0,2,1,6,0,6,4,player_stats,2025-08-03 19:13:55.339088
7,CIVILIZATION_GAUL,1,1,0,0,1,0,0,0,7,0,46,0,2,1,6,0,7,3,player_stats,2025-08-03 19:13:55.339088
7,CIVILIZATION_MAYA,1,1,0,0,1,0,0,0,7,0,60,0,2,1,8,0,3,4,player_stats,2025-08-03 19:13:55.339088
7,CIVILIZATION_VILNIUS,1,1,0,0,2,0,0,0,7,0,40,0,2,1,5,0,2,4,player_stats,2025-08-03 19:13:55.339088
7,CIVILIZATION_SAMARKAND,1,1,0,0,2,0,0,0,7,0,40,0,2,1,5,0,2,4,player_stats,2025-08-03 19:13:55.339088
7,CIVILIZATION_PRESLAV,1,1,0,0,2,0,0,0,7,0,40,0,3,1,5,0,2,3,player_stats,2025-08-03 19:13:55.339088
7,CIVILIZATION_JOHANNESBURG,1,1,0,0,2,0,0,0,7,0,40,0,2,1,5,0,2,4,player_stats,2025-08-03 19:13:55.339088
