game_turn,player_id,total_score,score_civics,score_empire,score_great_people,score_religion,score_tech,score_wonder,score_trade,score_pillage,score_income,score_scenario1,score_scenario2,score_scenario3,score_category_e,data_source,loaded_at
1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,game_scores,2025-08-03 19:13:55.357151
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,game_scores,2025-08-03 19:13:55.357151
1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,game_scores,2025-08-03 19:13:55.357151
1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,game_scores,2025-08-03 19:13:55.357151
1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,4,game_scores,2025-08-03 19:13:55.357151
1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,game_scores,2025-08-03 19:13:55.357151
1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,game_scores,2025-08-03 19:13:55.357151
1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,game_scores,2025-08-03 19:13:55.357151
1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,game_scores,2025-08-03 19:13:55.357151
1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,game_scores,2025-08-03 19:13:55.357151
1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,game_scores,2025-08-03 19:13:55.357151
1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,game_scores,2025-08-03 19:13:55.357151
1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,game_scores,2025-08-03 19:13:55.357151
1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,game_scores,2025-08-03 19:13:55.357151
1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,game_scores,2025-08-03 19:13:55.357151
1,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,game_scores,2025-08-03 19:13:55.357151
1,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,game_scores,2025-08-03 19:13:55.357151
2,0,11,0,7,0,0,0,0,0,0,0,0,0,0,4,game_scores,2025-08-03 19:13:55.357151
