game_turn,player_name,num_cities,population,techs,civics,land_units,corps,armies,naval_units,tiles_owned,tiles_improved,balance_gold,balance_faith,yield_science,yield_culture,yield_gold,yield_faith,yield_production,yield_food,data_source,loaded_at,tiles_by_type,buildings,districts,population_alt,outgoing_trade_routes,tourism,diplo_victory_points,balance_favor,lifetime_favor,co2_per_turn,data_source_ext,loaded_at_ext,player_id,total_score,score_civics,score_empire,score_great_people,score_religion,score_tech,score_wonder,score_trade,score_pillage,score_income,score_scenario1,score_scenario2,score_scenario3,score_category_e,data_source_score,loaded_at_score,total_yields,total_military,infrastructure_total,game_phase
1,CIVILIZATION_ANTIOCH,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,player_stats,2025-08-03 19:13:55.368470,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,player_stats_2,2025-08-03 19:13:55.376799,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,game_scores,2025-08-03 19:13:55.386101,0.0,2.0,0.0,Early
1,CIVILIZATION_FEZ,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,player_stats,2025-08-03 19:13:55.368470,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,player_stats_2,2025-08-03 19:13:55.376799,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,game_scores,2025-08-03 19:13:55.386101,0.0,2.0,0.0,Early
1,CIVILIZATION_FREE_CITIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,player_stats,2025-08-03 19:13:55.368470,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,player_stats_2,2025-08-03 19:13:55.376799,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,Early
1,CIVILIZATION_GAUL,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,player_stats,2025-08-03 19:13:55.368470,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,player_stats_2,2025-08-03 19:13:55.376799,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,game_scores,2025-08-03 19:13:55.386101,0.0,1.0,0.0,Early
1,CIVILIZATION_GERMANY,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,player_stats,2025-08-03 19:13:55.368470,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,player_stats_2,2025-08-03 19:13:55.376799,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,game_scores,2025-08-03 19:13:55.386101,0.0,1.0,0.0,Early
1,CIVILIZATION_JOHANNESBURG,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,player_stats,2025-08-03 19:13:55.368470,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,player_stats_2,2025-08-03 19:13:55.376799,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,game_scores,2025-08-03 19:13:55.386101,0.0,2.0,0.0,Early
1,CIVILIZATION_LAHORE,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,player_stats,2025-08-03 19:13:55.368470,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,player_stats_2,2025-08-03 19:13:55.376799,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,game_scores,2025-08-03 19:13:55.386101,0.0,2.0,0.0,Early
1,CIVILIZATION_MAPUCHE,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,player_stats,2025-08-03 19:13:55.368470,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,player_stats_2,2025-08-03 19:13:55.376799,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,game_scores,2025-08-03 19:13:55.386101,0.0,1.0,0.0,Early
1,CIVILIZATION_MAYA,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,player_stats,2025-08-03 19:13:55.368470,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,player_stats_2,2025-08-03 19:13:55.376799,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,game_scores,2025-08-03 19:13:55.386101,0.0,1.0,0.0,Early
1,CIVILIZATION_MEXICO_CITY,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,player_stats,2025-08-03 19:13:55.368470,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,player_stats_2,2025-08-03 19:13:55.376799,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,game_scores,2025-08-03 19:13:55.386101,0.0,2.0,0.0,Early
